abstraction	entity
reconsideration, afterthought, rethink	reversal, turnabout, turnaround
choice, pick, selection	deciding
pleasure	choice, pick, selection
cull, reject	deciding
favorite, favourite	choice, pick, selection
option, alternative, choice	deciding
obverse	option, alternative, choice
preference, druthers	option, alternative, choice
wish	preference, druthers
way	choice, pick, selection
default	option, alternative, choice
possibility, opening	option, alternative, choice
possible	possibility, opening
impossibility	option, alternative, choice
impossible	impossibility
excogitation	thinking, thought, cerebration, intellection, mentation
explanation	thinking, thought, cerebration, intellection, mentation
rationale, principle	explanation
basis, base, foundation, fundament, groundwork, cornerstone	assumption, supposition, supposal
key	explanation
rationalization, rationalisation	explanation
planning, preparation, provision	thinking, thought, cerebration, intellection, mentation
agreement, arrangement	planning, preparation, provision
collusion	agreement, arrangement
prearrangement	agreement, arrangement
reservation	prearrangement
upgrade	reservation
applecart	planning, preparation, provision
calculation, deliberation	planning, preparation, provision
premeditation, forethought	planning, preparation, provision
inspiration	intuition
experiment, experimentation	inquiry, enquiry, research
control	criterion, standard
condition	procedure, process
trial, test, tryout	experiment, experimentation
testament	creed, credo
probe, investigation	inquiry, enquiry, research
poll, canvass	inquiry, enquiry, research
heraldry	inquiry, enquiry, research
extrapolation	calculation, computation, figuring, reckoning
interpolation	calculation, computation, figuring, reckoning
conversion	calculation, computation, figuring, reckoning
digitization, digitisation	conversion
estimate, estimation, approximation, idea	calculation, computation, figuring, reckoning
credit	estimate, estimation, approximation, idea
guess, guesswork, guessing, shot	estimate, estimation, approximation, idea
guesstimate, guestimate	estimate, estimation, approximation, idea
overestimate, overestimation, overrating, overreckoning	estimate, estimation, approximation, idea
underestimate, underestimation, underrating, underreckoning	estimate, estimation, approximation, idea
know	knowing
cognizance, ken	knowing
prevision, foresight, farsightedness, prospicience	knowing
understanding, apprehension, discernment, savvy	knowing
comprehension	understanding, apprehension, discernment, savvy
incomprehension	inability
smattering	understanding, apprehension, discernment, savvy
appreciation, grasp, hold	understanding, apprehension, discernment, savvy
grasping	understanding, apprehension, discernment, savvy
sense	appreciation, grasp, hold
hindsight	understanding, apprehension, discernment, savvy
insight, brainstorm, brainwave	understanding, apprehension, discernment, savvy
realization, realisation, recognition	understanding, apprehension, discernment, savvy
light	insight, brainstorm, brainwave
revelation	insight, brainstorm, brainwave
discovery, breakthrough, find	insight, brainstorm, brainwave
flash	insight, brainstorm, brainwave
reading	language
content	cognition, knowledge, noesis
tradition	content
world, reality	experience
otherworld	abstraction
life, living	experience
reliving	experience
object	content
food	content
pabulum	food
antipathy	object
bugbear, hobgoblin	object
execration	object
center, centre	object
crosshairs	center, centre
cynosure	center, centre
hallucination	object
infatuation	object
love, passion	object
noumenon	content
reminder	experience
memento, souvenir	reminder
universe	content
topic, subject, issue, matter	content
issue	content
quodlibet	issue
area	topic, subject, issue, matter
remit	topic, subject, issue, matter
information	cognition, knowledge, noesis
datum	information
reading, indication	datum
acquaintance, familiarity, conversance, conversancy	information
fact	information
case	fact
detail, item, point	fact
particular, specific	fact
general	fact
observation	fact
reason	fact
score	fact
truth	fact
verity	truth
minutia	detail, item, point
respect, regard	detail, item, point
technicality, trifle, triviality	detail, item, point
example, illustration, instance, representative	information
apology, excuse	example, illustration, instance, representative
exception	example, illustration, instance, representative
precedent	example, illustration, instance, representative
quintessence	example, illustration, instance, representative
sample	example, illustration, instance, representative
coupon	sample
specimen	example, illustration, instance, representative
tasting	sample
circumstance, condition, consideration	information
justification	circumstance, condition, consideration
background	information
descriptor	information
evidence, grounds	information
predictor	information
proof	evidence, grounds
reductio	disproof, falsification, refutation
confirmation, verification, check, substantiation	proof
crosscheck	confirmation, verification, check, substantiation
checksum	confirmation, verification, check, substantiation
establishment, validation	proof
disproof, falsification, refutation	evidence, grounds
confutation	disproof, falsification, refutation
counterexample	disproof, falsification, refutation
lead, track, trail	evidence, grounds
evocation, induction, elicitation	stimulation, stimulus, stimulant, input
kick	stimulation, stimulus, stimulant, input
stimulation, stimulus, stimulant, input	information
turnoff	stimulation, stimulus, stimulant, input
reinforcer, reinforcement	stimulation, stimulus, stimulant, input
cue	stimulation, stimulus, stimulant, input
nuisance	annoyance, bother, botheration, pain, infliction
irritant, thorn	annoyance, bother, botheration, pain, infliction
plague	annoyance, bother, botheration, pain, infliction
bugaboo	concern, worry, headache, vexation
burden, load, encumbrance, incumbrance, onus	concern, worry, headache, vexation
business	concern, worry, headache, vexation
fardel	burden, load, encumbrance, incumbrance, onus
imposition	burden, load, encumbrance, incumbrance, onus
pill	burden, load, encumbrance, incumbrance, onus
idea, thought	content
inspiration	idea, thought
source, seed, germ	inspiration
taproot	source, seed, germ
muse	source, seed, germ
mother	inspiration
afflatus	inspiration
cogitation	idea, thought
concept, conception, construct	idea, thought
conceptualization, conceptualisation, conceptuality	concept, conception, construct
perception	conceptualization, conceptualisation, conceptuality
notion	concept, conception, construct
mumpsimus	notion
preoccupation	idea, thought
layout	design, plan
trap, snare	design, plan
idea	opinion, sentiment, persuasion, view, thought
judgment, judgement, mind	opinion, sentiment, persuasion, view, thought
decision, determination, conclusion	judgment, judgement, mind
predetermination	decision, determination, conclusion
category	concept, conception, construct
kind, sort, form, variety	category
breed	type
pigeonhole	category
rubric	category
way	category
description	kind, sort, form, variety
type	kind, sort, form, variety
nature	type
version, variant, variation, edition	type
antitype	kind, sort, form, variety
perpendicular	Gothic
style	kind, sort, form, variety
flavor, flavour	kind, sort, form, variety
charm	flavor, flavour
strangeness	flavor, flavour
color, colour	kind, sort, form, variety
species	kind, sort, form, variety
genus	kind, sort, form, variety
brand, make	kind, sort, form, variety
genre	kind, sort, form, variety
like, ilk	kind, sort, form, variety
manner	kind, sort, form, variety
model	kind, sort, form, variety
stripe	kind, sort, form, variety
like	kind, sort, form, variety
rule, regulation	concept, conception, construct
restriction, limitation	rule, regulation
narrowness	restriction, limitation
rule, formula	procedure, process
metarule	rule, formula
algorithm	rule, formula
stemmer	algorithm
heuristic	rule, formula
recursion	rule, formula
guidepost, guideline	rule, regulation
property, attribute, dimension	concept, conception, construct
quality, character, lineament	property, attribute, dimension
texture	quality, character, lineament
feature, characteristic	property, attribute, dimension
feature	property, attribute, dimension
invariant	feature, characteristic
aspect, facet	feature, characteristic
attraction, attractor, attracter, magnet	feature, characteristic
badge	feature, characteristic
centerpiece, centrepiece	feature, characteristic
contour	feature, characteristic
excellence, excellency	feature, characteristic
external	feature, characteristic
peculiarity	feature, characteristic
side	aspect, facet
downside	side
hand	side
sector, sphere	aspect, facet
department	sector, sphere
surface	aspect, facet
attention	attraction, attractor, attracter, magnet
foil, enhancer	attention
abstraction, abstract	concept, conception, construct
absolute	abstraction, abstract
teacher	abstraction, abstract
thing	abstraction, abstract
quantity	concept, conception, construct
quantum	measure, quantity, amount
quantum	quantity
term	quantity
eigenvalue	value
operand	quantity
variable	quantity
argument	variable
arity	number
correlate, correlative	variable
constant, invariable	quantity
parameter	constant, invariable
parameter	quantity
product	quantity
factorial	product
multiple	product
double	multiple
triple	multiple
quadruple	multiple
lcm	multiple
subtotal	sum, amount, total
sum, amount, total	quantity
degree	exponent, power, index
polynomial, multinomial	function, map, mapping
biquadratic	polynomial, multinomial
quadratic	polynomial, multinomial
series	polynomial, multinomial
convergence, convergency	series
divergence, divergency	series
proportional	quantity
infinitesimal	variable
variate, variant	variable
scalar	variable
tensor	variable
vector	variable
resultant	vector
point	component, constituent, element, factor, ingredient
attractor, attracter	point
intersection	point
metacenter, metacentre	intersection
vertex	intersection
part, section, division	concept, conception, construct
beginning	part, section, division
middle	part, section, division
end	part, section, division
component, constituent, element, factor, ingredient	part, section, division
leaven, leavening	imponderable
whole	concept, conception, construct
unit	whole
one	unit
compound	whole
complex, composite	whole
hybrid	complex, composite
syndrome	complex, composite
law	concept, conception, construct
dictate	principle
fundamentals, basics, bedrock	principle
logic	principle
insurrectionism	principle
principle	law
rudiment, alphabet, ABC, ABCs	fundamentals, basics, bedrock
law	concept, conception, construct
principle, rule	law
hypothesis, possibility, theory	concept, conception, construct
hypothetical	hypothesis, possibility, theory
gemmule	hypothesis, possibility, theory
fact	concept, conception, construct
model, framework	hypothesis, possibility, theory
outline, schema, scheme	plan, program, programme
speculation, conjecture	hypothesis, possibility, theory
assumption, supposition, supposal	hypothesis, possibility, theory
prerequisite, requirement	duty, responsibility, obligation
requirement, demand	duty, responsibility, obligation
precondition	prerequisite, requirement
given, presumption, precondition	assumption, supposition, supposal
constatation	assumption, supposition, supposal
misconception	idea, thought
fallacy	misconception
sophism, sophistry, sophistication	fallacy
paralogism	fallacy
error	misconception
mistake, misunderstanding, misapprehension	misconception
illusion, fantasy, phantasy, fancy	misconception
bubble	illusion, fantasy, phantasy, fancy
delusion, hallucination	misconception
autism	syndrome
apparition, phantom, phantasm, phantasma, fantasm, shadow	illusion, semblance
UFO	apparition, phantom, phantasm, phantasma, fantasm, shadow
ghost, shade, spook, wraith, specter, spectre	apparition, phantom, phantasm, phantasma, fantasm, shadow
disorientation	delusion, hallucination
plan, program, programme	idea, thought
program, programme	system
Superfund	program, programme
activism	policy
blueprint, design, pattern	plan, program, programme
contrivance, stratagem, dodge	scheme, strategy
plant	contrivance, stratagem, dodge
wangle, wangling	contrivance, stratagem, dodge
counterterrorism	scheme, strategy
bubble	scheme, strategy
playbook	scheme, strategy
plot, game	scheme, strategy
counterplot, counterplan	plot, game
intrigue, machination	plot, game
priestcraft	intrigue, machination
conspiracy, cabal	plot, game
wheeze	scheme, strategy
regimen, regime	plan, program, programme
project, projection	plan, program, programme
moneymaker	project, projection
agenda, docket, schedule	plan, program, programme
menu, fare	agenda, docket, schedule
guideline	guidance, counsel, counseling, counselling, direction, plan, program, programme
figment	idea, thought
generalization, generalisation, generality	idea, thought
principle, rule	generalization, generalisation, generality
pillar	principle, rule
shahadah	witness
salat, salaat, salah, salaah	worship
sawm	abstinence
zakat	charity
hajj, haj, hadj	pilgrimage
yang	principle, rule
yin	principle, rule
suggestion	idea, thought
inkling, intimation, glimmering, glimmer	suggestion
impression, feeling, belief, notion, opinion	idea, thought
presence	impression, feeling, belief, notion, opinion
reaction	idea, thought
effect	impression, feeling, belief, notion, opinion
theorem	idea, thought
intuition, hunch, suspicion	impression, feeling, belief, notion, opinion
heart, bosom	intuition, hunch, suspicion
prescience, prevision	capacity
notion, whim, whimsy, whimsey	idea, thought
meaning, substance	idea, thought
burden	idea, thought
theme, motif	idea, thought
topos	theme, motif
semantics	meaning, substance
significance, import, implication	meaning, substance
kernel, substance, core, center, centre, essence, gist, heart, inwardness, marrow, meat, nub, pith, sum	content
hypostasis	kernel, substance, core, center, centre, essence, gist, heart, inwardness, marrow, meat, nub, pith, sum
quiddity, haecceity	kernel, substance, core, center, centre, essence, gist, heart, inwardness, marrow, meat, nub, pith, sum
quintessence	kernel, substance, core, center, centre, essence, gist, heart, inwardness, marrow, meat, nub, pith, sum
stuff	kernel, substance, core, center, centre, essence, gist, heart, inwardness, marrow, meat, nub, pith, sum
tenor, strain	meaning, substance
drift, purport	tenor, strain
undertone, undercurrent	meaning, substance
reference, denotation, extension	meaning, substance
reference	meaning, substance
connotation	meaning, substance
ideal	idea, thought
value	ideal
introject	value
idealization, idealisation	idea, thought
paragon, idol, perfection	ideal
criterion, standard	ideal
exemplar, example, model	ideal
beauty, beaut	exemplar, example, model
keynote	idea, thought
kink	idea, thought
wisdom	content
reconditeness, abstruseness, abstrusity, profoundness, profundity	wisdom
representation	content
instantiation	representation
antitype	representation
stereotype	representation
schema, scheme	representation
image	representation
interpretation, reading, version	representation
reinterpretation	interpretation, reading, version
phantasmagoria	representation
character, role, part, persona	portrayal, characterization, enactment, personation
heavy	character, role, part, persona
hero	character, role, part, persona
ingenue	character, role, part, persona
psychosexuality	representation
percept, perception	representation
figure	percept, perception
ground	percept, perception
form, shape, pattern	structure
fractal	form, shape, pattern
gestalt	form, shape, pattern
grid	form, shape, pattern
kaleidoscope	form, shape, pattern
mosaic	form, shape, pattern
strand	form, shape, pattern
background, ground	view, aspect, prospect, scene, vista, panorama
coast	view, aspect, prospect, scene, vista, panorama
exposure	view, aspect, prospect, scene, vista, panorama
foreground	view, aspect, prospect, scene, vista, panorama
glimpse	view, aspect, prospect, scene, vista, panorama
tableau	view, aspect, prospect, scene, vista, panorama
memory	representation
recollection	memory
engram	memory
confabulation	memory
aftertaste	afterimage, aftersensation
visualization, visualisation	image
fusion	beholding, seeing
picture, impression	image
model, example	representation
lodestar, loadstar	model, example
prototype, paradigm, epitome, image	model, example
concentrate	prototype, paradigm, epitome, image
imago	prototype, paradigm, epitome, image
holotype	model, example
microcosm	model, example
original, archetype, pilot	model, example
pacesetter, pacemaker	exemplar, example, model
pattern	exemplar, example, model
template, templet, guide	model, example
prefiguration	model, example
prodigy	exemplar, example, model
appearance	representation
illusion, semblance	appearance
irradiation	illusion, semblance
mirage	misconception
front	appearance
blur, fuzz	representation
unsoundness	misconception
abstractionism, unrealism	representation
concretism	representation
shape, embodiment	concretism
belief	content
apophatism	religion, faith
cataphatism	religion, faith
analogy	religion, faith
conviction	belief
faith, trust	belief
doctrine, philosophy, ism	belief
philosophy	belief
expectation, outlook, prospect	belief
fetishism, fetichism	belief
geneticism	belief
meliorism	belief
opinion, sentiment, persuasion, view, thought	belief
autotelism	belief
originalism	belief
pacifism, pacificism	belief
predestinarianism	Protestantism
religion, faith	belief
cult, cultus	religion, faith
cult	religion, faith
ecclesiasticism	religion, faith
mysticism	religion, faith
quietism	mysticism
Sufism	mysticism
eyes	opinion, sentiment, persuasion, view, thought
opinion	belief
preconception, prepossession	opinion, sentiment, persuasion, view, thought
taboo, tabu	bias, prejudice, preconception
pole	opinion, sentiment, persuasion, view, thought
promise, hope	expectation, outlook, prospect
rainbow	promise, hope
foretaste	expectation, outlook, prospect
possibility	expectation, outlook, prospect
anticipation, expectancy	expectation, outlook, prospect
apprehension, misgiving	expectation, outlook, prospect
revolutionism	belief
sacerdotalism	belief
spiritualism	belief
unseen	belief
suffragism	belief
supernaturalism	belief
superstition	belief
supremacism	belief
theory	belief
egoism	theory
patchwork, hodgepodge, jumble	theory
theosophy	system
theosophism	belief
anthroposophy	system
Kabbalah, Kabbala, Kabala, Cabbalah, Cabbala, Cabala, Qabbalah, Qabbala	theosophy
Kabbalism, Cabalism	doctrine, philosophy, ism
thought	belief
totemism	belief
tribalism	belief
values	belief
vampirism	belief
mainstream	thought
principle	value
chivalry, knightliness	principle
ethic	principle
Chartism	ethic
Hellenism	principle
scruple	principle
abolitionism	doctrine, philosophy, ism
absolutism	doctrine, philosophy, ism
amoralism	doctrine, philosophy, ism
animalism	doctrine, philosophy, ism
animism	doctrine, philosophy, ism
antiestablishmentarianism, antiestablishmentism	doctrine, philosophy, ism
asceticism	doctrine, philosophy, ism
contextualism	doctrine, philosophy, ism
creationism	doctrine, philosophy, ism
creed, credo	doctrine, philosophy, ism
dogma	doctrine, philosophy, ism
dualism	doctrine, philosophy, ism
dynamism	doctrine, philosophy, ism
epicureanism	doctrine, philosophy, ism
establishmentarianism, establishmentism	doctrine, philosophy, ism
ethicism	doctrine, philosophy, ism
expansionism	doctrine, philosophy, ism
experimentalism	empiricism, sensationalism
formalism	doctrine, philosophy, ism
functionalism	doctrine, philosophy, ism
Girondism	doctrine, philosophy, ism
gospel	doctrine, philosophy, ism
gymnosophy	doctrine, philosophy, ism
imitation	doctrine, philosophy, ism
mimesis	imitation
individualism	doctrine, philosophy, ism
individualism	belief
internationalism	doctrine, philosophy, ism
unilateralism	doctrine, philosophy, ism
irredentism, irridentism	doctrine, philosophy, ism
literalism	doctrine, philosophy, ism
democracy	doctrine, philosophy, ism
monism	doctrine, philosophy, ism
multiculturalism	doctrine, philosophy, ism
nationalism	doctrine, philosophy, ism
nationalism	doctrine, philosophy, ism
nihilism	doctrine, philosophy, ism
pacifism, pacificism, passivism	doctrine, philosophy, ism
pluralism	doctrine, philosophy, ism
populism	doctrine, philosophy, ism
presentism	doctrine, philosophy, ism
election	predestination, foreordination, preordination, predetermination
rationalism, freethinking	doctrine, philosophy, ism
reformism	doctrine, philosophy, ism
humanism	doctrine, philosophy, ism
humanitarianism, humanism	doctrine, philosophy, ism
egalitarianism, equalitarianism	doctrine, philosophy, ism
feminism	doctrine, philosophy, ism
juju	magic, thaumaturgy
magic, thaumaturgy	supernaturalism
mojo	magic, thaumaturgy
occultism	supernaturalism
occultism	discipline, subject, field, study, bailiwick
reincarnationism	doctrine, philosophy, ism
secessionism	doctrine, philosophy, ism
secularism	doctrine, philosophy, ism
fatalism	determinism
instrumentalism	pragmatism
conjuring, conjuration, conjury, invocation	magic, thaumaturgy
exorcism, dispossession	supernaturalism
evocation, summoning	conjuring, conjuration, conjury, invocation
sorcery, necromancy	magic, thaumaturgy
witchcraft, witchery	sorcery, necromancy
enchantment, bewitchment	sorcery, necromancy
diabolism, demonism, Satanism	sorcery, necromancy
unbelief, disbelief	content
agnosticism, skepticism, scepticism	unbelief, disbelief
atheism	unbelief, disbelief
heresy, unorthodoxy	content
iconoclasm	unorthodoxy, heterodoxy, heresy
goal, end	content
aim, object, objective, target	goal, end
bourn, bourne	goal, end
destination, terminus	goal, end
grail	aim, object, objective, target
purpose, intent, intention, aim, design	goal, end
intention	goal, end
mind, idea	purpose, intent, intention, aim, design
sake	purpose, intent, intention, aim, design
view	purpose, intent, intention, aim, design
will	purpose, intent, intention, aim, design
business	aim, object, objective, target
occasions	business
point	aim, object, objective, target
thing	aim, object, objective, target
education	content
experience	content
acculturation, culture	content
meme	acculturation, culture
lore	content
folklore	lore
eruditeness, erudition, learnedness, learning, scholarship, encyclopedism, encyclopaedism	education
letters	eruditeness, erudition, learnedness, learning, scholarship, encyclopedism, encyclopaedism
enlightenment	education
foundation, grounding	education
centralism	policy
containment	policy
moderationism	policy
obscurantism	policy
Thatcherism	policy
ultramontanism	policy
edification, sophistication	enlightenment
satori	enlightenment
disenchantment, disillusion, disillusionment	edification, sophistication
ignorance	content
dark, darkness	unenlightenment
ignorantness, nescience, unknowing, unknowingness	ignorance
inexperience, rawness	ignorance
unenlightenment	ignorance
illiteracy	ignorance
theory	explanation
superposition	principle, rule
localization, localisation	principle, rule
lateralization, lateralisation, laterality	localization, localisation
blastogenesis	theory
preformation	theory
positivism	empiricism, sensationalism
Comtism	positivism
discipline, subject, field, study, bailiwick	domain
communications	discipline, subject, field, study, bailiwick
major	discipline, subject, field, study, bailiwick
region, realm	domain
frontier	discipline, subject, field, study, bailiwick
genealogy	discipline, subject, field, study, bailiwick
allometry	discipline, subject, field, study, bailiwick
bibliotics	discipline, subject, field, study, bailiwick
ology	discipline, subject, field, study, bailiwick
symbology	ology
territory	area
domain	content
metaknowledge	content
science	discipline, subject, field, study, bailiwick
mathematics, math, maths	science
algorism	arithmetic
triangulation	trigonometry, trig
axis	line
origin	intersection
coordinate	number
intercept	point
quadratics	algebra
analysis	calculus
derivative, differential	calculation, computation, figuring, reckoning
partial	derivative, differential
integral	calculation, computation, figuring, reckoning
interval	set
group	set
subgroup	group
statistic	datum
average, norm	statistic
demographic	statistic
deviation	statistic
moment	statistic
outlier	deviation
mode	average, norm
median	average, norm
mean	average, norm
expectation	mean
variance	moment
covariance	variance
population, universe	collection, aggregation, accumulation, assemblage
subpopulation	population, universe
sample, sampling	distribution
correlation	statistics
covariation	variation
binomial	quantity
biology	bioscience
biometrics, biometry, biostatistics	bioscience, statistics
craniology	bioscience
dermatoglyphics	bioscience
dietetics	bioscience
macrobiotics	dietetics
eugenics	bioscience
dysgenics, cacogenics	bioscience
euthenics	bioscience
phrenology	craniology
aeromedicine	biomedicine
allergology	medicine
anesthesiology	medicine
angiology	medicine
bacteriology	medicine
biomedicine	medicine
biomedicine	medicine
cardiology	medicine
dentistry, odontology	medicine
endodontics, endodontia	dentistry, odontology
orthodontics, orthodontia, orthodonture	dentistry, odontology
periodontics, periodontia	dentistry, odontology
prosthetics	medicine
prosthodontics, prosthodontia	dentistry, odontology
dermatology	medicine
endocrinology	medicine
epidemiology	medicine
gastroenterology	medicine
geriatrics, gerontology	medicine
gynecology, gynaecology	medicine
hematology, haematology	medicine
hygiene, hygienics	medicine
immunology	medicine
immunochemistry, chemoimmunology	chemistry, immunology
immunopathology	immunology
nephrology	medicine
neurology	medicine
neuropsychiatry	medicine
nosology, diagnostics	medicine
obstetrics, OB, tocology, midwifery	medicine
fetology, foetology	obstetrics, OB, tocology, midwifery
perinatology	obstetrics, OB, tocology, midwifery
oncology	medicine
ophthalmology	medicine
otology	medicine
pharmacology	medicine
pharmacy, pharmaceutics	medicine
pharmacokinetics	pharmacology
posology	pharmacology
psychopharmacology	pharmacology
psychiatry, psychopathology	medicine
alienism	psychiatry, psychopathology
psychotherapy, psychotherapeutics	psychiatry, psychopathology
anatomy	morphology
morphophysiology	anatomy
neuroanatomy	anatomy
osteology	anatomy
topology	anatomy
audiology, audiometry	otology
pediatrics, paediatrics, pedology	medicine
neonatology	pediatrics, paediatrics, pedology
podiatry, chiropody	medicine
proctology	medicine
rheumatology	medicine
rhinolaryngology, otorhinolaryngology, otolaryngology	medicine
therapeutics	medicine
toxicology	pharmacology
traumatology	medicine
urology	medicine
virology	medicine
agronomy	science
agrobiology	science
agrology	science
biogeography	biology
botany, phytology	biology
mycology	botany, phytology
pomology	botany, phytology
cryobiology	biology
cryonics	cryobiology
cytology	biology
cytogenetics	cytology, genetics
ecology, bionomics	biology
embryology	biology
exobiology, astrobiology	biology
forestry	biology
silviculture	forestry
entomology, bugology	zoology
lepidopterology, lepidoptery	entomology, bugology
ethology	zoology
herpetology	zoology
ichthyology	zoology
malacology	zoology
mammalogy	zoology
oology	zoology
ornithology	zoology
primatology	mammalogy
protozoology	zoology
paleobotany, palaeobotany	botany, phytology, paleobiology, palaeobiology
phycology, algology	botany, phytology
pteridology	botany, phytology
paleodendrology, palaeodendrology	paleobotany, palaeobotany
paleozoology, palaeozoology	paleobiology, palaeobiology, zoology
paleomammalogy	paleozoology, palaeozoology
paleornithology, palaeornithology	paleozoology, palaeozoology
genetics	biology
genomics	genetics
proteomics	genetics
microbiology	biology
morphology	biology
neurobiology	biology
paleobiology, palaeobiology	biology, paleontology, palaeontology, fossilology
pharmacogenetics	genetics
teratology	embryology
enzymology	biochemistry
zymology, zymurgy	biochemistry
physiology	biology
neurophysiology	neuroscience, physiology
neuroscience	neurobiology
hemodynamics	physiology
kinesiology	physiology
myology	physiology
paleoecology, palaeoecology	ecology, bionomics
radiobiology	biology
sociobiology	biology
zoology	biology
electrochemistry	chemistry
femtochemistry	chemistry
geochemistry	chemistry
photochemistry	chemistry
radiochemistry	chemistry
acoustics	physics
astronomy, uranology	physics
astrodynamics	astronomy, uranology
astrometry	astronomy, uranology
aeronautics, astronautics	physics
avionics	aeronautics, astronautics
biophysics	physics
astrophysics	astronomy, uranology
selenology	astronomy, uranology
cosmology, cosmogony, cosmogeny	astrophysics
cryogenics, cryogeny	physics
crystallography	physics
electromagnetism, electromagnetics	physics
electronics	physics
electrostatics	physics
mechanics	physics
nucleonics	physics
optics	physics
catoptrics	optics
holography	optics
quasiparticle	quantum
rheology	physics
atomism	theory
holism	theory
conservation	principle
parity	conservation
Darwinism	evolutionism
Lamarckism	evolutionism
thermochemistry	chemistry
harmonics	acoustics
hydraulics	mechanics
pneumatics	mechanics
statics	mechanics
hydrostatics	hydraulics
dynamics, kinetics	mechanics
kinematics	mechanics
hydrodynamics, hydrokinetics	hydraulics
magnetohydrodynamics	hydrodynamics, hydrokinetics
ballistics	dynamics, kinetics
aeromechanics, aerodynamics	mechanics
thermodynamics	physics
thermostatics	thermodynamics
microelectronics	electronics
thermionics	electronics
hypsography	geology
paleogeology, palaeogeology	geology
geophysics	geology
morphology, geomorphology	geophysics
orology, orography	geology
stratigraphy	geology
tectonics	morphology, geomorphology
aerology	meteorology
climatology	meteorology
bioclimatology	climatology
nephology	meteorology
hydrology	geophysics
hydrography	oceanography, oceanology
seismology	geophysics
volcanology, vulcanology	geophysics
magnetism, magnetics	geophysics
geodesy	geophysics
mineralogy	geology
petrology, lithology	morphology, geomorphology
speleology, spelaeology	geology
physiography	geography, geographics
topography	geography, geographics
topology	topography
architecture	discipline, subject, field, study, bailiwick
architectonics, tectonics	science
engineering, technology	discipline, subject, field, study, bailiwick
metallurgy	science
bionics	engineering, technology
biotechnology, bioengineering, ergonomics	engineering, technology
bioremediation	biotechnology, biotech
EE	engineering, technology
telecommunication	EE
computing	engineering, technology
object	computing
logic	system
AI	computing
MT	AI
robotics	AI
animatronics	robotics
telerobotics	robotics
IT	engineering, technology
nanotechnology	engineering, technology
rocketry	engineering, technology
metrology	science
nutrition	science
futurology, futuristics	discipline, subject, field, study, bailiwick
psychology	science
psychopathology	psychology
psychonomics	psychology
psychophysics	psychonomics
behaviorism, behaviourism	psychonomics
neuropsychology, psychophysiology	psychology
psychometry, psychometrics, psychometrika	psychology
reflexology	behaviorism, behaviourism
informatics, IP	science
NLP	informatics, IP
cybernetics	informatics, IP
archeology, archaeology	anthropology
Assyriology	archeology, archaeology
Egyptology	archeology, archaeology
Sumerology	archeology, archaeology
micropaleontology	paleontology, palaeontology, fossilology
paleoclimatology, palaeoclimatology	archeology, archaeology
paleogeography, palaeogeography	archeology, archaeology
paleography	archeology, archaeology
paleopathology, palaeopathology	archeology, archaeology, pathology
paletiology, palaetiology	archeology, archaeology
epigraphy	paleography
paleology, palaeology	archeology, archaeology
protohistory, protoanthropology	archeology, archaeology
protoarcheology, protoarchaeology	protohistory, protoanthropology
ethnography	anthropology
paleoethnography, palaeoethnography	archeology, archaeology
ethnology	anthropology
geopolitics	politics, government
geostrategy	geopolitics
realpolitik	politics, government
politics	opinion, sentiment, persuasion, view, thought
econometrics	economics
finance	economics
macroeconomics	economics
microeconomics	economics
criminology	sociology
demography	sociology
psephology	sociology
penology, poenology	criminology
sociometry	sociology
strategics	science
systematics	science
biosystematics, biosystematy	systematics
taxonomy	systematics
cladistics	taxonomy
thanatology	science
humanities, arts	discipline, subject, field, study, bailiwick
neoclassicism	idiom, humanities, arts
classicism, classicalism	idiom, humanities, arts
Romanticism	idiom, humanities, arts
English	humanities, arts
history	humanities, arts
historicism	hypothesis, possibility, theory
chronology	humanities, arts
glottochronology	chronology
history	cognition, knowledge, noesis
Occidentalism	humanities, arts
Orientalism	humanities, arts
philosophy	humanities, arts
ethics	philosophy
bioethics	ethics
neuroethics	bioethics
casuistry	ethics
casuistry	argumentation, argument, line
eudemonism, endaemonism	ethics
hedonism	ethics
probabilism	casuistry
etiology, aetiology	philosophy
aesthetics, esthetics	philosophy
axiology	philosophy
jurisprudence, law	philosophy
metaphysics	philosophy
ontology	metaphysics
ontology	arrangement, organization, organisation, system
cosmology	metaphysics
dialectics	rationale, principle
dialectic	philosophy
logic	philosophy
quantification	restriction, limitation
epistemology	philosophy
methodology	epistemology
phenomenology	doctrine, philosophy, ism
structuralism	theory
structuralism	theory
etymology	linguistics
diachrony	linguistics
prosody, metrics	poetics
linguistics, philology	humanities, arts
dialectology	linguistics, philology
musicology	humanities, arts
Sinology	humanities, arts
stemmatology, stemmatics	humanities, arts
trivium	humanities, arts
quadrivium	humanities, arts
cryptanalysis, cryptanalytics, cryptography, cryptology	science
linguistics	science
syntax	structure
syntax	grammar
orthoepy	phonology, phonemics
phonetics	acoustics
morphology	structure
affixation	morphology
morphology	grammar
accidence	morphology
lexicology	linguistics, philology
onomastics	lexicology
toponymy, toponomy	lexicology
neurolinguistics	linguistics
pragmatics	linguistics
lexicostatistics	etymology
semantics	linguistics
deixis	semantics
semasiology	semantics
sociolinguistics	linguistics
structuralism	linguistics
theology, divinity	discipline, subject, field, study, bailiwick
angelology	theology, divinity
apologetics	theology, divinity
ecclesiology	theology, divinity
eschatology	theology, divinity
hermeneutics	theology, divinity
